127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.007147
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.005009
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.004257
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003990
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003693
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004835
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.005733
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.014556
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.010843
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.005477
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.008112
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.023401
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.008569
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.009175
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.010850
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.011629
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.004554
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.020339
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.015093
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.007225
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.006420
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.011046
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.031495
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.028231
